iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AFG,Asia,Afghanistan,2022-01-01,158107.0,23.0,30.286,7356.0,0.0,1.0,3942.871,0.574,0.755,183.444,0.0,0.025,1.3,,,,,,,,,,,,,,,,,,,,,,,16935.0,,,,,422.0,15923.0,0.04,19.44,40099462.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
OWID_AFR,,Africa,2022-01-01,9796727.0,40559.0,43057.429,228636.0,183.0,221.857,7035.886,29.129,30.923,164.203,0.131,0.159,,,,,,,,,,,,,,,,,,,304142817.0,193994506.0,125170954.0,909609.0,1742670.0,1723494.0,21.84,13.93,8.99,0.07,1238.0,976766.0,0.07,,1392394303.0,,,,,,,,,,,,,,,,,,
ALB,Europe,Albania,2022-01-01,210224.0,0.0,383.143,3217.0,0.0,4.0,73641.105,0.0,134.214,1126.91,0.0,1.401,1.5,,,,,,,,,1426434.0,3068.0,496.508,1.068,3812.0,1.327,0.1005,9.9,tests performed,,,,,,5843.0,,,,,2047.0,2007.0,0.07,46.3,2854710.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,
DZA,Africa,Algeria,2022-01-01,218818.0,386.0,348.857,6284.0,8.0,7.857,4953.102,8.737,7.897,142.243,0.181,0.178,1.2,27.0,0.611,,,,,,,,,,,,,,,,,,,,,22589.0,,,,,511.0,9845.0,0.022,51.85,44177969.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,,,,
AND,Europe,Andorra,2022-01-01,23740.0,0.0,287.143,140.0,0.0,0.143,300377.053,0.0,3633.156,1771.39,0.0,1.808,1.27,,,,,,,,,,,,,1145.0,14.802,0.2508,4.0,tests performed,,,,,,758.0,,,,,9591.0,27.0,0.034,59.26,79034.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,,
AGO,Africa,Angola,2022-01-01,82398.0,805.0,1608.0,1772.0,2.0,3.714,2388.087,23.331,46.604,51.357,0.058,0.108,1.66,,,,,,,,,,,,,,,,,,,,,,,53366.0,,,,,1547.0,31539.0,0.091,73.15,34503774.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,
AIA,North America,Anguilla,2022-01-01,1674.0,0.0,4.0,5.0,0.0,0.0,106265.473,0.0,253.92,317.4,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,1333.0,2.0,0.013,,15753.0,,,,,,,,,,,,,81.88,,,,,
ATG,North America,Antigua and Barbuda,2022-01-01,4283.0,0.0,6.714,119.0,0.0,0.143,45945.076,0.0,72.026,1276.55,0.0,1.532,1.1,,,,,,,,,,,,,,,,,,,,,,,66.0,,,,,708.0,4.0,0.004,,93220.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,,,,
ARG,South America,Argentina,2022-01-01,5674428.0,20020.0,31715.571,117181.0,12.0,23.0,125327.552,442.169,700.482,2588.104,0.265,0.508,2.03,1012.0,22.351,,,,,,,28680676.0,46481.0,628.882,1.019,127848.0,2.803,0.327,3.1,tests performed,78226421.0,38794028.0,33448194.0,6172907.0,4539.0,281641.0,172.77,85.68,73.87,13.63,6220.0,43835.0,0.097,58.33,45276780.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,,,,
ARM,Asia,Armenia,2022-01-01,344980.0,50.0,85.857,7975.0,3.0,5.0,123605.594,17.915,30.762,2857.425,1.075,1.791,0.69,,,,,,,,,2575788.0,1851.0,867.816,0.624,5578.0,1.879,0.013,76.9,tests performed,,,,,,5739.0,,,,,2056.0,1937.0,0.069,,2790974.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,,,,
ABW,North America,Aruba,2022-01-01,20982.0,521.0,497.429,181.0,0.0,0.0,196947.511,4890.366,4669.113,1698.956,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,61.0,,,,,573.0,35.0,0.033,41.67,106536.0,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,
OWID_ASI,,Asia,2022-01-01,85054535.0,117975.0,98220.571,1260584.0,993.0,1116.143,18122.793,25.137,20.928,268.596,0.212,0.238,,,,,,,,,,,,,,,,,,,6235486329.0,3118789764.0,2656526760.0,207937790.0,16945667.0,26051446.0,132.86,66.45,56.6,4.43,5551.0,4628702.0,0.099,,4693235454.0,,,,,,,,,,,,,,,,,,
AUS,Oceania,Australia,2022-01-01,462955.0,37459.0,23194.429,2257.0,4.0,9.571,17860.168,1445.117,894.809,87.072,0.154,0.369,2.21,194.0,7.484,1828.0,70.522,,,,,55239454.0,280490.0,2142.042,10.877,255031.0,9.889,0.138,7.2,tests performed,,,,,,78527.0,,,,,3029.0,6966.0,0.027,40.28,25921089.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUT,Europe,Austria,2022-01-01,1274628.0,3817.0,2631.571,16845.0,30.0,23.0,142862.171,427.815,294.95,1888.012,3.362,2.578,1.26,322.0,36.09,994.0,111.409,,,,,123907877.0,328668.0,13701.967,36.345,569157.0,62.938,0.0046,216.3,tests performed,,,,,,34484.0,,,,,3865.0,3447.0,0.039,76.85,8922082.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,,,,
AZE,Asia,Azerbaijan,2022-01-01,617311.0,364.0,456.0,8365.0,7.0,11.571,59857.605,35.295,44.216,811.113,0.679,1.122,0.81,,,,,,,,,5876764.0,,574.838,,9352.0,0.915,0.0488,20.5,tests performed,11346243.0,5169392.0,4676580.0,1500271.0,77.0,20378.0,110.02,50.13,45.35,14.55,1976.0,1926.0,0.019,79.63,10312992.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,,,,
BHS,North America,Bahamas,2022-01-01,24476.0,0.0,133.857,717.0,0.0,0.571,60004.021,0.0,328.157,1757.758,0.0,1.401,1.45,,,,,,,,,185893.0,450.0,468.346,1.134,658.0,1.658,0.2034,4.9,tests performed,,,,,,618.0,,,,,1515.0,83.0,0.02,48.15,407906.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,,,
BHR,Asia,Bahrain,2022-01-01,282677.0,615.0,451.286,1394.0,0.0,0.0,193182.37,420.293,308.41,952.664,0.0,0.0,2.05,,,,,,,,,,,,,21320.0,12.195,0.0212,47.2,units unclear,3229937.0,1203427.0,1178471.0,848039.0,3736.0,8063.0,220.73,82.24,80.54,57.96,5510.0,540.0,0.037,43.52,1463265.0,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852,,,,
BGD,Asia,Bangladesh,2022-01-01,1585909.0,370.0,417.714,28076.0,4.0,2.857,9364.337,2.185,2.466,165.781,0.024,0.017,1.46,,,,,,,,,11508057.0,15214.0,69.199,0.091,18678.0,0.112,0.0224,44.7,tests performed,,,,,,829757.0,,,,,4899.0,388153.0,0.229,38.89,169356251.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,
BRB,North America,Barbados,2022-01-01,28810.0,245.0,168.714,262.0,2.0,0.286,102453.77,871.266,599.98,931.721,7.112,1.016,1.38,,,,,,,,,,,,,,,,,,,,,,,194.0,,,,,690.0,69.0,0.025,67.59,281200.0,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,,,,
BLR,Europe,Belarus,2022-01-01,700421.0,1311.0,1117.143,5594.0,16.0,15.714,73126.823,136.874,116.634,584.037,1.67,1.641,0.89,,,,,,,,,,,,,16897.0,1.789,0.0661,15.1,tests performed,,,,,,67398.0,,,,,7037.0,39278.0,0.41,19.44,9578168.0,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.823,,,,
BEL,Europe,Belgium,2022-01-01,2105343.0,0.0,9604.571,28331.0,0.0,26.0,181316.583,0.0,827.166,2439.926,0.0,2.239,1.33,513.0,44.181,1704.0,146.752,,,996.0,85.778,27400673.0,39324.0,2355.561,3.381,66623.0,5.727,0.181,5.5,tests performed,21721196.0,8937248.0,8827230.0,4384569.0,72.0,45977.0,187.07,76.97,76.02,37.76,3960.0,965.0,0.008,50.0,11611420.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,,,,
BLZ,North America,Belize,2022-01-01,32840.0,0.0,191.0,602.0,0.0,1.429,82093.638,0.0,477.463,1504.883,0.0,3.571,1.72,,,,,,,,,,,,,1213.0,2.996,0.1575,6.4,tests performed,,,,,,338.0,,,,,845.0,44.0,0.011,72.22,400031.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,,
BEN,Africa,Benin,2022-01-01,24935.0,0.0,0.0,161.0,0.0,0.0,1918.535,0.0,0.0,12.388,0.0,0.0,0.34,,,,,,,,,,,,,,,,,,,,,,,19531.0,,,,,1503.0,18427.0,0.142,50.0,12996895.0,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,,,,
